ges;S6;S4;S17;IFOMK;TR;Dichte;Pene;R+K
101.63823;1;0;0;0;0;1039.25256;93;45.4
103.83538;1;0;0;0;0;1040.09875;79;46.4
102.65582;1;0;0;0;0;1040.00305;81;46.6
103.13055;1;0;0;0;0;1040.00305;81;47
102.8698;1;0;0;0;0;1040.00305;82;46.8
103.12578;1;0;0;0;0;1038.60754;92;45.36
101.34923;1;0;0;0;0;1038.67078;87;45.6
101.04946;1;0;0;0;0;1038.8064;84;45.8
101.32113;1;0;0;0;0;1038.8064;85;46.6
101.76811;1;0;0;0;0;1038.8064;86;46.4
102.02608;1;0;0;0;0;1038.8064;85;46.8
101.42103;1;0;0;0;0;1038.78101;81;46.4
101.79481;1;0;0;0;0;1038.86377;82;46.4
101.9053;1;0;0;0;0;1038.87988;83;46.8
102.40274;1;0;0;0;0;1038.87988;86;47.8
103.50312;1;0;0;0;0;1039.12061;81;46
102.3088;1;0;0;0;0;1039.04578;86;46.5
96.67129;1;0;0;0;0;1037.06384;88;45.8
103.73877;0.933252341;0;0;0.066747659;0;1038.08887;86;46.2
104.11279;0.933492129;0;0;0.066507871;0;1039.21167;83;47
103.9656;0.947924506;0;0;0.052075494;0;1039.21167;78;47.4
100.36881;0.92826387;0;0;0.07173613;0;1039.20801;80;47
102.2378;1;0;0;0;0;1039.13245;65;47.4
104.2081;1;0;0;0;0;1038.2832;90;45.8
104.07227;1;0;0;0;0;1038.43933;86;46.2
104.06641;1;0;0;0;0;1038.43933;88;46.8
104.09204;1;0;0;0;0;1038.43921;87;45
104.16309;1;0;0;0;0;1038.43921;89;46.6
103.60307;1;0;0;0;0;1039.43005;82;46.6
99.9668;1;0;0;0;0;1039.8009;83;46.2
100.0569;1;0;0;0;0;1041.28931;85;46.4
103.69747;0.941828571;0;0;0.058171429;0;1040.57922;94;45
96.62198;0.795681066;0;0.204318934;0;0;1042.89221;91;45.8
97.74441;0.7867875;0;0.2132125;0;0;1042.3374;89;45.8
100.24072;0.891876475;0;0;0.108123525;0;1041.4137;93;45.6
99.22119;0.890765471;0;0;0.109234529;0;1042.13623;74;48.2
101.67979;0.893406743;0;0;0.106593257;0;1041.10144;87;46.8
102.75089;0.894517897;0;0;0.105482103;0;1041.12598;85;46
102.00442;0.799497414;0;0.200502586;0;0;1042.37659;84;46.6
104.22012;0.803760061;0;0.196239939;0;0;1041.69031;82;46.6
101.83125;1;0;0;0;0;1041.04041;75;47.2
102.89297;1;0;0;0;0;1039.96814;75;47.8
102.8836;1;0;0;0;0;1039.96814;80;47.6
99.80157;1;0;0;0;0;1041.43408;82;46.4
102.08204;1;0;0;0;0;1041.3634;68;48.4
102.08204;1;0;0;0;0;1040.17468;69;48.2
103.31953;1;0;0;0;0;1038.85925;81;46.6
104.53126;1;0;0;0;0;1038.85925;83;46.6
104.0164;1;0;0;0;0;1038.85925;85;45.6
104.07891;1;0;0;0;0;1039.15002;84;46.6
104.11407;1;0;0;0;0;1039.15002;84;47
102.48763;0.599683689;0;0.400316311;0;0;1041.83032;78;47
100.49884;0.606233763;0;0.393766237;0;0;1040.61816;83;46.2
101.49961;0.605659667;0;0.394340333;0;0;1040.61816;87;46
102.64445;1;0;0;0;0;1040.37012;83;46
101.4586;1;0;0;0;0;1040.37012;72;47.6
83.30859;1;0;0;0;0;1039.28308;83;46.8
70.59844;1;0;0;0;0;1038.22461;84;46.4
75.69048;0.719935057;0;0.224576591;0.055488352;0;1037.07861;100;45
75.00117;0.66711466;0;0.262222443;0.070662898;0;1039.71094;93;45.4
75.00117;0.66711466;0;0.262222443;0.070662898;0;1040.20972;85;46.6
70.67344;1;0;0;0;0;1039.4884;71;48.6
70.16953;1;0;0;0;0;1039.4884;76;47.8
70.16953;1;0;0;0;0;1038.48621;80;47.2
70.16953;1;0;0;0;0;1037.8103;92;45.8
85.71964;1;0;0;0;0;1037.23621;91;45.8
89.80547;1;0;0;0;0;1038.33154;85;46.2
89.80547;1;0;0;0;0;1039.21301;85;46.4
83.87256;0.75784619;0;0.187156205;0.054997606;0;1038.87109;98;45
84.77054;0.749818274;0;0.18396509;0.066216636;0;1040.73523;81;46.6
85.54315;0.743046053;0;0.183217826;0.07373612;0;1040.73523;81;47.6
85.51758;0.743268226;0;0.182973606;0.073758168;0;1040.73523;87;46.6
85.5878;0.742658416;0;0.183643931;0.073697653;0;1040.73523;79;46.8
85.44141;0.743930841;0;0.182245237;0.073823922;0;1040.6532;84;46.2
87.15496;0.739377426;0;0.201871012;0.058751562;0;1040.6532;83;46.6
86.30717;0.736386907;0;0.189749009;0.073864083;0;1041.36401;75;47.6
86.42027;0.735423183;0;0.190809402;0.073767416;0;1040.51257;80;46.4
80.35131;1;0;0;0;0;1039.57043;87;46.6
84.74198;0.749988022;0;0.192864741;0.057147237;0;1040.51257;84;46.6
79.82813;1;0;0;0;0;1040.22412;76;46.2
82.24161;0.804109501;0;0.195890499;0;0;1042.5907;75;47.8
81.66153;0.809821467;0;0.190178533;0;0;1041.80115;75;47.6
81.66153;0.809821467;0;0.190178533;0;0;1040.75891;83;46.6
81.69669;0.809472942;0;0.190527058;0;0;1040.75891;82;46.4
82.63913;0.800241484;0;0.199758516;0;0;1039.72705;88;46
82.68692;0.799778974;0;0.200221026;0;0;1040.46326;84;46.2
83.20078;0.800980351;0;0.199019649;0;0;1040.36499;95;46.2
83.15799;0.801392506;0;0.198607494;0;0;1040.05591;93;46
82.54746;0.807319692;0;0.192680308;0;0;1040.37622;83;46.2
83.37071;0.807640957;0;0.192359043;0;0;1040.43262;83;46.8
80.94844;1;0;0;0;0;1040.53784;86;46.4
82.01485;1;0;0;0;0;1038.37781;89;46.2
69.93282;1;0;0;0;0;1040.39294;85;46.8
69.93282;1;0;0;0;0;1039.29883;77;48
70.94766;1;0;0;0;0;1038.08533;90;45.8
65.0836;1;0;0;0;0;1039.36157;84;46.4
62.50547;1;0;0;0;0;1039.3717;81;46.4
80.9836;1;0;0;0;0;1041.69922;87;45.4
80.9836;1;0;0;0;0;1041.69922;70;47.8
80.9836;1;0;0;0;0;1039.38;85;46
81.49454;1;0;0;0;0;1038.31616;102;45.4
80.46329;1;0;0;0;0;1038.35779;96;45.4
80.46329;1;0;0;0;0;1039.48279;93;46.2
80.97656;1;0;0;0;0;1039.48279;87;46
79.87032;1;0;0;0;0;1039.34924;83;45.8
79.87969;1;0;0;0;0;1039.50525;77;47.2
80.92735;1;0;0;0;0;1039.88135;88;46
80.92735;1;0;0;0;0;1039.72229;85;46.4
78.64922;1;0;0;0;0;1039.72229;84;46.4
79.7625;1;0;0;0;0;1039.70972;84;46.4
28.47422;1;0;0;0;0;1069.81592;50;53.2
80.42731;0.362312379;0.537145902;0.100541719;0;0;1075.11121;23;61.8
81.75591;0.359468569;0.54169087;0.098840561;0;0;1075.11121;20;63
81.51668;0.361064877;0.539576563;0.099358561;0;0;1075.11121;23;62.4
80.16328;1;0;0;0;0;1041.71948;102;44.8
80.16328;1;0;0;0;0;1042.4458;90;45.6
80.16328;1;0;0;0;0;1042.4458;86;46.4
80.18438;1;0;0;0;0;1042.46912;86;46.2
80.18438;1;0;0;0;0;1042.46912;87;45.2
81.78281;1;0;0;0;0;1038.88;82;47.4
78.3211;1;0;0;0;0;1039.61023;91;45.6
65.47501;1;0;0;0;0;1040.58289;85;46.6
64.97344;1;0;0;0;0;1040.58289;86;46.4
60.30235;1;0;0;0;0;1039.60913;87;46.8
60.8086;1;0;0;0;0;1039.60913;94;46
69.26485;1;0;0;0;0;1015.12897;93;45.2
62.76831;0.499605294;0;0;0;0.500394706;1063.26465;43;54.4
62.73063;0.499905389;0;0;0;0.500094611;1058.58826;63;50
63.11638;0.501063115;0;0;0;0.498936885;1058.58826;64;49
63.36445;0.502968305;0;0;0;0.497031695;1056.51501;75;47.8
62.71191;0.508201871;0;0;0;0.491798129;1056.51501;71;48.6
62.32442;0.503276404;0;0;0;0.496723596;1056.51501;75;47.8
62.18438;1;0;0;0;0;1040.88525;74;48.2
65.90765;1;0;0;0;0;1039.95789;86;46.2
55.08756;1;0;0;0;0;1038.9563;88;46.4
64.73907;1;0;0;0;0;1040.13489;84;46
64.73907;1;0;0;0;0;1040.13489;84;46.4
70.38516;1;0;0;0;0;1045.31128;85;47
70.38516;1;0;0;0;0;1039.7146;79;47
70.39219;1;0;0;0;0;1040.0072;86;46.6
71.83252;0.796253285;0;0;0;0.203746715;1045.27625;88;46.4
72.06797;0.793651882;0;0;0;0.206348118;1045.09839;85;46.6
71.72227;0.797477269;0;0;0;0.202522731;1045.11328;88;46.4
71.71176;0.797594146;0;0;0;0.202405854;1044.97668;85;46.6
71.7977;0.79745549;0;0;0;0.20254451;1046.25183;81;46.6
71.91147;0.796193848;0;0;0;0.203806152;1046.25183;76;47.8
70.53037;1;0;0;0;0;1038.62585;92;45.8
71.35313;1;0;0;0;0;1038.62585;83;46.2
70.2961;1;0;0;0;0;1038.68994;82;46.6
70.2961;1;0;0;0;0;1039.65173;83;46.4
71.4571;1;0;0;0;0;1038.98389;79;46.8
70.78594;1;0;0;0;0;1039.68311;79;46.8
70.54628;0.798744314;0;0;0;0.201255686;1046.08972;80;46.8
61.9249;1;0;0;0;0;1044.89685;78;45.6
69.45352;0.799804243;0;0;0;0.200195757;1045.03943;90;43.8
69.57058;0.798458486;0;0;0;0.201541514;1047.7146;64;49
64.84736;0.692853032;0;0;0;0.307146968;1045.8844;80;47
64.48021;0.696798134;0;0;0;0.303201866;1051.18518;67;49
63.98145;0.702229943;0;0;0;0.297770057;1048.13757;84;46.4
62.24329;0.482729785;0.517270215;0;0;0;1048.13757;87;46.6
62.85;1;0;0;0;0;1039.46484;91;45.8
62.85;1;0;0;0;0;1040.19849;81;46.4
61.51172;1;0;0;0;0;1042.0415;83;46
62.03203;1;0;0;0;0;1042.05994;83;46.2
63.08204;1;0;0;0;0;1041.04211;82;46.2
63.08204;1;0;0;0;0;1041.04736;82;46.4
64.26328;1;0;0;0;0;1042.04993;82;46.4
64.26328;1;0;0;0;0;1041.12964;82;46.4
64.24688;1;0;0;0;0;1040.52051;92;45.6
63.45;1;0;0;0;0;1040.8761;92;45.8
63.45;1;0;0;0;0;1037.89844;80;46.4
62.92735;1;0;0;0;0;1039.99634;82;46.2
62.92735;1;0;0;0;0;1039.99634;81;46.2
62.92735;1;0;0;0;0;1038.96204;89;46
62.92735;1;0;0;0;0;1039.97498;90;46.6
62.92735;1;0;0;0;0;1039.97498;85;45.4
62.92735;1;0;0;0;0;1039.96936;84;46
62.80547;1;0;0;0;0;1039.96936;85;46
70.27032;1;0;0;0;0;1041.04077;76;47.6
70.27032;1;0;0;0;0;1040.02161;79;46.6
70.27032;1;0;0;0;0;1040.19861;80;46.6
70.27032;1;0;0;0;0;1038.99536;82;46.8
69.32576;0.802427698;0;0;0;0.197572302;1038.96863;92;45.4
71.95899;0.78886085;0;0;0;0.21113915;1045.32874;81;46.6
69.29883;0.802401282;0;0;0;0.197598718;1046.29675;84;48
69.58887;0.799056947;0;0;0;0.200943053;1045.09473;75;47.6
69.64304;0.798435422;0;0;0;0.201564578;1044.71082;83;46.4
69.63526;0.798524627;0;0;0;0.201475373;1044.25671;86;46.2
70.3281;0.800655783;0;0;0;0.199344217;1044.25671;87;46.6
70.5586;0.798040211;0;0;0;0.201959789;1044.20032;79;46.6
70.48243;0.798902649;0;0;0;0.201097351;1044.2041;80;46.6
69.84898;0.798967;0;0;0;0.201033;1044.2041;83;46.6
71.30215;0.782683692;0;0;0;0.217316308;1044.22729;85;46.8
69.27158;0.798250884;0;0;0;0.201749116;1044.57324;84;47
69.39083;0.796879069;0;0;0;0.203120931;1044.23254;91;46.2
77.12344;1;0;0;0;0;1041.17529;98;46
75.34922;1;0;0;0;0;1039.68665;77;47.4
75.34922;1;0;0;0;0;1039.16162;65;47
73.86328;1;0;0;0;0;1038.9165;85;46.4
73.86328;1;0;0;0;0;1038.13782;87;46.6
70.63702;0.622580341;0;0;0;0.377419659;1055.97485;54;50
