S6 Anteil;S4 Anteil;M100 Anteil;Penetration;Erweichungspunkt;;
0.943415115;0.056584885;0;180;40;57.6;46.08
0.94320916;0.05679084;0;182;39.8;57.9488;45.66712553
0.943202039;0.056797961;0;196;38.6;60.5248;43.51162371
0.943196247;0.056803753;0;202;38;61.408;42.1197472
0.943878303;0.056121697;0;224;38.2;68.4544;47.69814286
0.943379709;0.056620291;0;204;38.8;63.3216;46.23353171
0.943374985;0.056625015;0;180;40.2;57.888;47.00853507
0.503886328;0.496113672;0;14;69.2;7.7504;32.10350227
0.503400298;0.496599702;0;14;69.8;7.8176;33.23148327
0.50232374;0.49767626;0;14;70.6;7.9072;34.78138245
0.495508554;0.504491446;0;13;71.8;7.4672;34.54944929
0.498228987;0.501771013;0;12;71.4;6.8544;31.18703539
0.497597802;0.502402198;0;13;72;7.488;34.9360128
0.496665992;0.503334008;0;13;72;7.488;34.9360128
0.497644808;0.502355192;0;13;71.8;7.4672;34.54944929
0.494822762;0.505177238;0;16;68;8.704;34.2102016
0.919575786;0.080424214;0;190;38.8;58.976;43.06064228
0.919575786;0.080424214;0;199;38;60.496;41.4942064
0.919575786;0.080424214;0;193;39.6;61.1424;47.46112766
0.919575786;0.080424214;0;196;39.4;61.7792;47.23250276
0.894988157;0.105011843;0;190;39.4;59.888;45.78660982
0.894988157;0.105011843;0;194;39;60.528;44.8807554
0.894988157;0.105011843;0;194;38.8;60.2176;43.96718212
0.894988157;0.105011843;0;177;39.8;56.3568;44.41253417
1;0;0;189;39.4;59.5728;45.54562767
1;0;0;191;39.4;60.2032;46.02759198
1;0;0;193;39;60.216;44.6494113
1;0;0;199;38.8;61.7696;45.10035691
1;0;0;206;38.4;63.2832;44.79114019
1;0;0;195;38.8;60.528;44.19381708
1;0;0;180;39.2;56.448;42.50272481
1;0;0;181;39.8;57.6304;45.41620726
1;0;0;174;39.6;55.1232;42.78878867
1;0;0;176;39.8;56.0384;44.1616159
1;0;0;184;39.6;58.2912;45.24791446
1;0;0;214;38;65.056;44.6219104
0.496824581;0.503175419;0;13;71;7.384;33.0351853
0.496824581;0.503175419;0;13;71.6;7.4464;34.16610266
0.510016762;0.489983238;0;15;71;8.52;38.1175215
0.494016704;0.505983296;0;14;71.2;7.9744;35.97891068
0.506534272;0.493465728;0;14;71.4;7.9968;36.38487463
0.506534272;0.493465728;0;16;70.6;9.0368;39.75015138
0.501931315;0.498068685;0;16;69.4;8.8832;37.11571784
0.489465852;0.510534148;0;19;65.8;10.0016;35.61698681
0.499176783;0.500823217;0;158;41.4;52.3296;46.41501033
0.905828121;0.094171879;0;166;40.2;53.3856;43.35231567
1;0;0;182;39.4;57.3664;43.85875257
1;0;0;210;39;65.52;48.582261
1;0;0;183;38.8;56.8032;41.47419756
1;0;0;180;39;56.16;41.641938
1;0;0;185;39;57.72;42.7986585
1;0;0;217;38.4;66.6624;47.1829001
1;0;0;212;38.4;65.1264;46.0957365
0.919959792;0;0.080040208;82;46.4;30.4384;38.00894145
0.918083657;0;0.081916343;83;45.8;30.4112;36.52077663
0.918095521;0;0.081904479;85;46.4;31.552;39.39951247
0.918091566;0;0.081908434;83;46.6;30.9424;39.14008452
0.917802953;0;0.082197047;81;46.8;30.3264;38.85692519
0.915065786;0;0.084934214;83;46.4;30.8096;38.47246512
0.92114808;0;0.07885192;82;47;30.832;40.0133842
0.917290361;0;0.082709639;86;46.2;31.7856;39.18017338
0.915295274;0;0.084704726;83;46.4;30.8096;38.47246512
0.916606106;0;0.083393894;83;46;30.544;37.1628848
0.916606106;0;0.083393894;81;46.8;30.3264;38.85692519
0.922399421;0;0.077600579;84;46.4;31.1808;38.9359888
