ges;S6;S4;S17;IFOMK;TR;Pene;R+K
62.32442;0.503276404;0;0;0;0.496723596;75;47.8
62.18438;1;0;0;0;0;74;48.2
65.90765;1;0;0;0;0;86;46.2
55.08756;1;0;0;0;0;88;46.4
64.73907;1;0;0;0;0;84;46
64.73907;1;0;0;0;0;84;46.4
70.38516;1;0;0;0;0;85;47
70.38516;1;0;0;0;0;79;47
70.39219;1;0;0;0;0;86;46.6
71.83252;0.796253285;0;0;0;0.203746715;88;46.4
72.06797;0.793651882;0;0;0;0.206348118;85;46.6
71.72227;0.797477269;0;0;0;0.202522731;88;46.4
71.71176;0.797594146;0;0;0;0.202405854;85;46.6
71.7977;0.79745549;0;0;0;0.20254451;81;46.6
71.91147;0.796193848;0;0;0;0.203806152;76;47.8
70.53037;1;0;0;0;0;92;45.8
71.35313;1;0;0;0;0;83;46.2
70.2961;1;0;0;0;0;82;46.6
70.2961;1;0;0;0;0;83;46.4
71.4571;1;0;0;0;0;79;46.8
70.78594;1;0;0;0;0;79;46.8
70.54628;0.798744314;0;0;0;0.201255686;80;46.8
61.9249;1;0;0;0;0;78;45.6
69.45352;0.799804243;0;0;0;0.200195757;90;43.8
69.57058;0.798458486;0;0;0;0.201541514;64;49
64.84736;0.692853032;0;0;0;0.307146968;80;47
64.48021;0.696798134;0;0;0;0.303201866;67;49
63.98145;0.702229943;0;0;0;0.297770057;84;46.4
62.24329;0.482729785;0.517270215;0;0;0;87;46.6
62.85;1;0;0;0;0;91;45.8
62.85;1;0;0;0;0;81;46.4
61.51172;1;0;0;0;0;83;46
62.03203;1;0;0;0;0;83;46.2
63.08204;1;0;0;0;0;82;46.2
63.08204;1;0;0;0;0;82;46.4
64.26328;1;0;0;0;0;82;46.4
64.26328;1;0;0;0;0;82;46.4
64.24688;1;0;0;0;0;92;45.6
63.45;1;0;0;0;0;92;45.8
63.45;1;0;0;0;0;80;46.4
62.92735;1;0;0;0;0;82;46.2
62.92735;1;0;0;0;0;81;46.2
62.92735;1;0;0;0;0;89;46
62.92735;1;0;0;0;0;90;46.6
62.92735;1;0;0;0;0;85;45.4
62.92735;1;0;0;0;0;84;46
62.80547;1;0;0;0;0;85;46
