ges;S6;S4;S17;IFOMK;TR;Pene;R+K
61.5049;1;0;0;0;0;350;34
61.21875;1;0;0;0;0;117;44.2
81.19886;1;0;0;0;0;153;40.6
84.95245;1;0;0;0;0;180;39.4
85.99335;1;0;0;0;0;188;40.2
98.07582;1;0;0;0;0;172;39.8
100.15427;1;0;0;0;0;170;40
99.17258;1;0;0;0;0;179;40.2
99.26169;1;0;0;0;0;176;39.4
102.93848;1;0;0;0;0;156;40.6
101.74948;1;0;0;0;0;178;39.6
102.27066;1;0;0;0;0;179;39.8
101.11585;1;0;0;0;0;175;39.2
83.92184;1;0;0;0;0;185;39
83.22324;1;0;0;0;0;199;38.8
103.49044;1;0;0;0;0;170;39.8
102.77638;1;0;0;0;0;170;40
103.76101;1;0;0;0;0;185;38
102.93539;1;0;0;0;0;176;39.8
102.54453;1;0;0;0;0;180;39.2
101.11587;1;0;0;0;0;171;39.2
102.48359;1;0;0;0;0;144;41.4
101.9784;1;0;0;0;0;148;41
103.78131;1;0;0;0;0;176;39.8
102.08107;1;0;0;0;0;185;37.8
102.62359;1;0;0;0;0;178;40
104.48837;1;0;0;0;0;190;39
102.93756;1;0;0;0;0;186;39
102.82082;1;0;0;0;0;180;40
102.30116;1;0;0;0;0;183;39.4
101.38447;1;0;0;0;0;211;38.6
102.01186;1;0;0;0;0;194;38.6
102.56132;1;0;0;0;0;189;39
104.25972;1;0;0;0;0;195;38.4
101.21285;1;0;0;0;0;175;39.8
103.23966;1;0;0;0;0;189;39
101.15956;1;0;0;0;0;196;38.4
104.04255;1;0;0;0;0;194;38.2
101.05674;1;0;0;0;0;177;39.6
103.67426;1;0;0;0;0;190;39.2
104.13823;0.945983814;0;0;0.054016186;0;229;38
101.62286;0.954594271;0;0;0.045405729;0;212;38.4
101.99095;0.964424098;0;0;0.035575902;0;171;40
102.90167;0.950062326;0;0;0.049937674;0;189;39.6
103.84136;1;0;0;0;0;194;38.8
104.90073;1;0;0;0;0;170;40.4
103.30958;0.941170606;0;0;0.058829394;0;176;40.4
102.90017;0.944972588;0;0;0.055027412;0;199;39
101.49072;0.95297639;0;0;0.04702361;0;195;38.8
102.80748;1;0;0;0;0;180;40
102.71777;1;0;0;0;0;178;40.2
102.71777;1;0;0;0;0;180;40
102.71777;1;0;0;0;0;170;40.6
105.85511;1;0;0;0;0;204;38.4
105.79475;1;0;0;0;0;197;39.6
105.76254;1;0;0;0;0;170;40
105.76172;1;0;0;0;0;175;39.8
99.36249;0.895492756;0;0.104507244;0;0;181;39.4
103.99854;0.857048955;0;0.142951045;0;0;223;38
104.90581;0.858285256;0;0.141714744;0;0;215;39.6
102.95557;0.840917592;0;0.159082408;0;0;196;40
102.50928;0.840225002;0;0.159774998;0;0;193;39.6
102.34914;0.839975011;0;0.160024989;0;0;205;40.2
102.95255;0.840912925;0;0.159087075;0;0;194;39
103.15722;0.840575386;0;0.159424614;0;0;183;39.8
102.41651;0.75560786;0;0.24439214;0;0;183;39.8
102.50147;0.755810429;0;0.244189571;0;0;200;39.4
102.43116;0.755642814;0;0.244357186;0;0;199;39.4
102.70363;0.701250871;0;0.298749129;0;0;190;39.8
103.12989;0.702485671;0;0.297514329;0;0;189;39.4
101.88458;0.761750699;0;0.238249301;0;0;170;40.2
103.3749;0.750802758;0;0.249197242;0;0;170;40.4
103.42969;0.750934765;0;0.249065235;0;0;173;40.2
103.42969;0.750934765;0;0.249065235;0;0;184;37.2
102.89888;0.749649948;0;0.250350052;0;0;178;39.8
103.24634;0.751599137;0;0.248400863;0;0;170;40
100.87972;0.703777826;0;0.296222174;0;0;161;41.2
101.42432;0.706509346;0;0.293490654;0;0;155;41.2
101.19362;0.70584025;0;0.29415975;0;0;179;39.8
98.71598;0.686911582;0;0.313088418;0;0;207;39.2
104.39846;0.705890393;0;0.294109607;0;0;209;39.4
102.27197;0.699775119;0;0.300224881;0;0;162;41.2
105.24475;0.790235047;0;0.209764953;0;0;163;41
103.60423;0.786913527;0;0.213086473;0;0;168;40.4
105.26294;0.790271296;0;0.209728704;0;0;173;40.4
105.23561;0.790216829;0;0.209783171;0;0;204;39.2
107.84083;0.813337119;0;0.186662881;0;0;204;39.6
105.31161;0.794721968;0;0.205278032;0;0;200;40.4
104.83338;0.793785529;0;0.206214471;0;0;200;40
104.89877;0.793914075;0;0.206085925;0;0;200;39
102.61058;0.804036679;0;0.195963321;0;0;191;39.4
103.04044;0.804854191;0;0.195145809;0;0;189;40
105.02675;0.719407389;0;0.280592611;0;0;200;39.4
105.04994;0.71946933;0;0.28053067;0;0;195;39.4
104.9754;0.719270134;0;0.280729866;0;0;200;39.6
90.046;0.785070742;0;0.214929258;0;0;205;39.6
90.13125;0.785274031;0;0.214725969;0;0;213;40
89.96133;0.784868454;0;0.215131546;0;0;197;39.6
90.16934;0.785364737;0;0.214635263;0;0;195;40
94.91336;0.796092773;0;0.203907227;0;0;176;40.8
100.40693;0.796774286;0;0.203225714;0;0;190;40.6
97.31876;0.790754835;0;0.209245165;0;0;165;41.4
94.63542;0.818959857;0;0.181040143;0;0;202;39.8
96.17725;0.806159253;0;0.193840747;0;0;213;39.8
99.57429;0.758620825;0;0.192523693;0.048855483;0;186;40.8
99.59798;0.758678238;0;0.1924779;0.048843862;0;206;39
96.17426;0.945381124;0;0;0.054618876;0;85;46.8
99.85049;0.943469181;0;0;0.056530819;0;175;40
100.03137;0.562342293;0.384910554;0;0.052747153;0;185;39.8
99.02168;0.537524308;0.393924139;0;0.068551554;0;188;39.4
100.65176;0.90004596;0;0;0.09995404;0;187;39.4
100.65469;0.90004887;0;0;0.09995113;0;188;39.4
100.66923;0.900063306;0;0;0.099936694;0;205;38.8
100.6301;0.900024446;0;0;0.099975554;0;215;39.6
100.67876;0.900072766;0;0;0.099927234;0;205;38
99.98077;0.89937515;0;0;0.10062485;0;167;39.8
99.96924;0.899363544;0;0;0.100636456;0;177;40.2
100.00593;0.899400466;0;0;0.100599534;0;176;40.2
100.2545;0.898743997;0;0;0.101256003;0;173;40.2
100.23809;0.89872742;0;0;0.10127258;0;185;39.6
99.55167;0.891128095;0;0;0.108871905;0;183;40.2
101.32354;0.893031965;0;0;0.106968035;0;178;40.2
101.32354;0.893031965;0;0;0.106968035;0;173;40.8
102.28214;0.894034481;0;0;0.105965519;0;170;40.6
101.41407;0.922925783;0;0;0.077074217;0;185;40.2
100.79121;0.894051178;0;0;0.105948822;0;187;39.2
101.31152;0.894595304;0;0;0.105404696;0;192;39.4
102.47403;0.89579106;0;0;0.10420894;0;185;39.6
102.47403;0.89579106;0;0;0.10420894;0;184;39.6
102.32871;0.89564307;0;0;0.10435693;0;185;39.4
101.29278;0.894575803;0;0;0.105424197;0;180;39.4
101.267;0.894548965;0;0;0.105451035;0;188;39
101.267;0.894548965;0;0;0.105451035;0;185;39.4
101.267;0.894548965;0;0;0.105451035;0;183;39
101.267;0.894548965;0;0;0.105451035;0;189;39.2
100.35861;0.893360918;0;0;0.106639082;0;182;40
100.41624;0.89342212;0;0;0.10657788;0;190;39.4
100.17688;0.934754107;0;0;0.065245893;0;175;40.4
102.21275;0.94530428;0;0;0.05469572;0;166;40.6
101.65219;0.950788665;0;0;0.049211335;0;169;40.6
101.65676;0.950790877;0;0;0.049209123;0;192;39.2
101.61246;0.950769423;0;0;0.049230577;0;185;40
101.67135;0.950797939;0;0;0.049202061;0;186;39.6
103.3036;0;0;0.935622863;0.064377137;0;185;40
103.31247;0;0;0.93562839;0.06437161;0;180;39.6
103.28216;0;0;0.950246296;0.049753704;0;181;39.6
103.25609;0;0;0.950233734;0.049766266;0;181;40
103.27193;0;0;0.950241368;0.049758632;0;180;40.6
103.10705;0;0;1;0;0;150;41
103.0647;0;0;1;0;0;147;41.2
103.1049;0;0;1;0;0;184;40.2
102.92581;0.110717516;0;0.889282484;0;0;170;39.8
103.29388;0.096092624;0;0.903907376;0;0;175;40
103.31892;0.096069336;0;0.903930664;0;0;175;40.6
102.91787;0.734794064;0;0.265205936;0;0;178;40
102.05157;0.717514096;0;0.282485904;0;0;141;42.4
100.81173;0.714039924;0;0.285960076;0;0;138;42.4
100.81173;0.714039924;0;0.285960076;0;0;138;42.4
101.56607;0.884299747;0;0.115700253;0;0;149;42
102.08467;0.907059601;0;0.092940399;0;0;174;40.6
102.08467;0.907059601;0;0.092940399;0;0;187;39.6
102.08935;0.907063861;0;0.092936139;0;0;186;40.4
102.10107;0.907074529;0;0.092925471;0;0;189;39.8
101.62998;0.906643788;0;0.093356212;0;0;188;40
101.62998;0.906643788;0;0.093356212;0;0;190;40.2
104.25235;0.802499992;0;0.197500008;0;0;186;40
103.30342;0.699880023;0;0.300119977;0;0;170;40.6
102.79014;0.698381382;0;0.301618618;0;0;185;40
103.3292;0.699954901;0;0.300045099;0;0;200;39.8
103.84483;0.701444742;0;0.298555258;0;0;187;40
